id_index,id_index_new,start_time,end_time,work_place_id,institution_id,institution,position_id,position
00261000000015604000,00261000000015604002,1988-7-1,1991-10-1,00131020000000000000,00431020000023742000,中国土木工程学会,00431020000023742032,助理
00261000000015604000,00261000000015604003,1991-10-1,1993-4-1,00190000100000000000,00490000100027340000,海淀区人民政府办公室,00490000100027340007,科员
00261000000015604000,00261000000015604005,1994-6-1,1997-3-1,00190000100000000000,00490000100027340000,海淀区人民政府办公室,00490000100027340039,副主任
00261000000015604000,00261000000015604006,1997-3-1,2000-4-1,00190000100000000000,00490000100060447000,海淀区规划管理局,00490000100060447020,副局长
00261000000015604000,00261000000015604007,2000-4-1,2004-1-1,00111000000000000000,00411000000060448000,北京海淀科技园建设股份有限公司,00411000000060448076,总经理
00261000000015604000,00261000000015604008,2004-1-1,2004-2-1,00190000100000000000,00490000100007189000,海淀区人民政府,00490000100007189022,成员
00261000000015604000,00261000000015604009,2004-2-1,2004-3-1,00190000100000000000,00490000100007189000,海淀区人民政府,00490000100007189022,成员
00261000000015604000,00261000000015604010,2004-2-1,2004-3-1,00190000100000000000,00490000100007189000,海淀区人民政府,00490000100007189005,区长
00261000000015664000,00261000000015664001,1970-5-1,1970-12-1,00161063200000000000,00461063200007811000,黄陵县建筑工程公司,00461063200007811026,员工
00261000000015664000,00261000000015664014,1992-10-1,1996-10-1,00161063000000000000,00461063000000307000,县委,00461063000000307026,员工
00261000000015664000,00261000000015664015,1996-11-1,2000-6-1,00161080000000000000,00461080000000868000,地区行政公署,00461080000000868082,副专员
00261000000015664000,00261000000015664016,2000-7-1,2001-2-1,00161080000000000000,00461080000003155000,榆林市人民政府,00461080000003155015,副市长
00261000000015664000,00261000000015664017,2001-2-1,2006-4-1,00161080000000000000,00461080000007813000,榆林市委,00461080000007813001,副书记
00261000000015664000,00261000000015664018,2001-2-1,2006-4-1,00161080000000000000,00461080000000028000,市政府,00461080000000028080,市长
00261000000015664000,00261000000015664019,2006-4-1,2013-2-1,00161000000000000000,00461000000000505000,陕西省国土资源厅,00461000000000505107,厅长
00261000000015664000,00261000000015664003,1975-5-1,1979-5-1,00137142100000000000,00437142100007814000,陵县团县委,00437142100007814026,员工
00261000000015664000,00261000000015664004,1979-5-1,1980-5-1,00161063200000000000,00461063200007815000,黄陵县人民政府,00461063200007815026,员工
00261000000015664000,00261000000015664005,1979-5-1,1980-5-1,00161063200000000000,00461063200007815000,黄陵县人民政府,00461063200007815113,秘书长
00261000000015664000,00261000000015664006,1980-5-1,1983-3-1,00137142100000000000,00437142100007814000,陵县团县委,00437142100007814026,员工
00261000000015664000,00261000000015664007,1983-3-1,1984-3-1,00161063200000000000,00461063200007816000,隆坊镇党委,00461063200007816003,书记
00261000000015664000,00261000000015664010,1986-3-1,1991-10-1,00161063200000000000,00461063200000307000,县委,00461063200000307026,员工
00261000000015664000,00261000000015664011,1991-10-1,1992-10-1,00161060000000000000,00461060000000835000,延安市委,00461060000000835023,常委
00261000000015664000,00261000000015664012,1991-10-1,1992-10-1,00161060000000000000,00461060000000835000,延安市委,00461060000000835001,副书记
00261000000015668000,00261000000015668010,1997-6-1,2001-12-1,00161092600000000000,00461092600011948000,平利县委,00461092600011948023,常委
00261000000015668000,00261000000015668011,1997-6-1,2001-12-1,00161092600000000000,00461092600011948000,平利县委,00461092600011948024,部长
00261000000015668000,00261000000015668012,2001-12-1,2002-12-1,00161092700000000000,00461092700057013000,镇坪县人民政府,00461092700057013045,副县长
00261000000015668000,00261000000015668013,2002-12-1,2006-9-1,00161092700000000000,00461092700000123000,中共,00461092700000123001,副书记
00261000000015668000,00261000000015668014,2006-9-1,2007-1-1,00161092600000000000,00461092600031730000,平利县人大常委会,00461092600031730001,副书记
00261000000015668000,00261000000015668015,2007-1-9,2007-1-9,00161092600000000000,00461092600031730000,平利县人大常委会,00461092600031730001,副书记
00261000000015668000,00261000000015668016,2007-1-9,0-1-1,00161092600000000000,00461092600031730000,平利县人大常委会,00461092600031730039,副主任
00261000000015668000,00261000000015668017,2007-10-1,2016-12-1,00161092600000000000,00461092600031730000,平利县人大常委会,00461092600031730013,主任
00261000000015668000,00261000000015668004,1984-7-1,1989-12-1,00161092600000000000,00461092600000422000,乡党委,00461092600000422003,书记
00261000000015668000,00261000000015668005,1989-12-1,1990-12-1,00161092600000000000,00461092600000008000,区委,00461092600000008121,秘书
00261000000015668000,00261000000015668006,1990-12-1,1993-12-1,00161092600000000000,00461092600051212000,平利县委办公室,00461092600051212121,秘书
00261000000015668000,00261000000015668007,1993-12-1,1995-6-1,00161092600000000000,00461092600051212000,平利县委办公室,00461092600051212039,副主任
00261000000015668000,00261000000015668008,1995-6-1,1997-5-1,00161092600000000000,00461092600051212000,平利县委办公室,00461092600051212012,局长
00261000000015668000,00261000000015668009,1997-5-1,1997-6-1,00161092600000000000,00461092600051212000,平利县委办公室,00461092600051212012,局长
00261000000015682000,00261000000015682001,1999-9-1,2002-7-1,00161000000000000000,00461000000000091000,陕西省委党校,00461000000000091044,研究生
00261000000015682000,00261000000015682013,2007-11-1,2009-9-1,00190000100000000000,00490000100033654000,未央区政府党组,00490000100033654022,成员
00261000000015682000,00261000000015682014,2007-11-1,2009-9-1,00190000100000000000,00490000100006120000,区政府办公室,00490000100006120013,主任
00261000000015682000,00261000000015682015,2009-9-1,2012-9-1,00161012400000000000,00461012400033655000,周至县委,00461012400033655001,副书记
00261000000015682000,00261000000015682016,2012-9-1,2013-1-1,00161012400000000000,00461012400033655000,周至县委,00461012400033655001,副书记
00261000000015682000,00261000000015682017,2012-9-1,2013-1-1,00161012400000000000,00461012400013925000,周至县人民政府,00461012400013925047,代县长
00261000000015682000,00261000000015682018,2013-1-1,2015-7-1,00161012400000000000,00461012400033655000,周至县委,00461012400033655001,副书记
00261000000015682000,00261000000015682019,2013-1-1,2015-7-1,00161012400000000000,00461012400013925000,周至县人民政府,00461012400013925040,县长
00261000000015682000,00261000000015682020,2015-7-1,2015-9-1,00161012400000000000,00461012400033655000,周至县委,00461012400033655003,书记
00261000000015682000,00261000000015682021,2015-7-1,2015-9-1,00161012400000000000,00461012400013925000,周至县人民政府,00461012400013925040,县长
